# Hub Local Request Monitor - Slice[0] Bank[3]
# Format: Time(ns) | ReqCh | ReqAddrFullHex | ReqRW(1=Write,0=Read) | HasValidReadReq | HandshakeType | ArbValidMask | ReqRwMask
# HandshakeType: NON_WRITE_REQ / WRITE_NO_VALID_READ / WRITE_WITH_VALID_READ
# ========================================
[13329000] INFO: slice start (cycle=0)
    13614000 |     8 | 0x180000 |                1 |               0 | WRITE_NO_VALID_READ | 0b0100000000 | 0b1100000000
    13724000 |     9 | 0x180023 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13727000 |     8 | 0x180026 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13729000 |     9 | 0x180025 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13732000 |     8 | 0x180028 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13734000 |     9 | 0x180027 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13737000 |     8 | 0x18002a |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13739000 |     9 | 0x180029 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13742000 |     8 | 0x18002c |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13744000 |     9 | 0x18002b |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13747000 |     8 | 0x18002e |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13749000 |     9 | 0x18002d |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13752000 |     8 | 0x180030 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13754000 |     9 | 0x18002f |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13757000 |     8 | 0x180032 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13759000 |     9 | 0x180031 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13762000 |     8 | 0x180034 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13764000 |     9 | 0x180033 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13767000 |     8 | 0x180036 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13769000 |     9 | 0x180035 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13772000 |     8 | 0x180038 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13774000 |     9 | 0x180037 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13777000 |     8 | 0x18003a |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13779000 |     9 | 0x180039 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13782000 |     8 | 0x18003c |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13784000 |     9 | 0x18003b |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13787000 |     8 | 0x18003e |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13789000 |     9 | 0x18003d |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13792000 |     9 | 0x18003f |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13797000 |     8 | 0x180040 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13829000 |     8 | 0x180042 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13852000 |     9 | 0x180041 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13854000 |     8 | 0x180044 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13857000 |     9 | 0x180043 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13859000 |     8 | 0x180046 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13862000 |     9 | 0x180045 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13864000 |     8 | 0x180048 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13867000 |     9 | 0x180047 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13869000 |     8 | 0x18004a |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13872000 |     9 | 0x180049 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13874000 |     8 | 0x18004c |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13877000 |     9 | 0x18004b |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13879000 |     8 | 0x18004e |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13882000 |     9 | 0x18004d |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13884000 |     8 | 0x180050 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13887000 |     9 | 0x18004f |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13889000 |     8 | 0x180052 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13892000 |     9 | 0x180051 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13894000 |     8 | 0x180054 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13897000 |     9 | 0x180053 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13899000 |     8 | 0x180056 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13902000 |     9 | 0x180055 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13904000 |     8 | 0x180058 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13907000 |     9 | 0x180057 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13909000 |     8 | 0x18005a |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13912000 |     9 | 0x180059 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13914000 |     8 | 0x18005c |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13917000 |     9 | 0x18005b |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13919000 |     8 | 0x18005e |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13922000 |     9 | 0x18005d |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13924000 |     8 | 0x180060 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13927000 |     9 | 0x18005f |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13929000 |     8 | 0x180062 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13932000 |     9 | 0x180061 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13934000 |     8 | 0x180064 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13937000 |     9 | 0x180063 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13939000 |     8 | 0x180066 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13942000 |     9 | 0x180065 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13944000 |     8 | 0x180068 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13947000 |     9 | 0x180067 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13949000 |     8 | 0x18006a |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13952000 |     9 | 0x180069 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13954000 |     8 | 0x18006c |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13957000 |     9 | 0x18006b |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13959000 |     8 | 0x18006e |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13962000 |     9 | 0x18006d |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13964000 |     8 | 0x180070 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13967000 |     9 | 0x18006f |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13969000 |     8 | 0x180072 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13972000 |     9 | 0x180071 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13974000 |     8 | 0x180074 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13977000 |     9 | 0x180073 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13979000 |     8 | 0x180076 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13982000 |     9 | 0x180075 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13984000 |     8 | 0x180078 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13987000 |     9 | 0x180077 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13989000 |     8 | 0x18007a |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13992000 |     9 | 0x180079 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13994000 |     8 | 0x18007c |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13997000 |     9 | 0x18007b |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    13999000 |     8 | 0x18007e |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14002000 |     9 | 0x18007d |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14004000 |     9 | 0x18007f |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14009000 |     8 | 0x180080 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14042000 |     8 | 0x180082 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14064000 |     9 | 0x180081 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14067000 |     8 | 0x180084 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14069000 |     9 | 0x180083 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14072000 |     8 | 0x180086 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14074000 |     9 | 0x180085 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14077000 |     8 | 0x180088 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14079000 |     9 | 0x180087 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14082000 |     8 | 0x18008a |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14084000 |     9 | 0x180089 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14087000 |     8 | 0x18008c |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14089000 |     9 | 0x18008b |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14092000 |     8 | 0x18008e |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14094000 |     9 | 0x18008d |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14097000 |     8 | 0x180090 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14099000 |     9 | 0x18008f |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14102000 |     8 | 0x180092 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14104000 |     9 | 0x180091 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14107000 |     8 | 0x180094 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14109000 |     9 | 0x180093 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14112000 |     8 | 0x180096 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14114000 |     9 | 0x180095 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14117000 |     8 | 0x180098 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14119000 |     9 | 0x180097 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14122000 |     8 | 0x18009a |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14124000 |     9 | 0x180099 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14127000 |     8 | 0x18009c |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14129000 |     9 | 0x18009b |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14132000 |     8 | 0x18009e |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14134000 |     9 | 0x18009d |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14137000 |     8 | 0x1800a0 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14139000 |     9 | 0x18009f |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14142000 |     8 | 0x1800a2 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14144000 |     9 | 0x1800a1 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14147000 |     8 | 0x1800a4 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14149000 |     9 | 0x1800a3 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14152000 |     8 | 0x1800a6 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14154000 |     9 | 0x1800a5 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14157000 |     8 | 0x1800a8 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14159000 |     9 | 0x1800a7 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14162000 |     8 | 0x1800aa |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14164000 |     9 | 0x1800a9 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14167000 |     8 | 0x1800ac |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14169000 |     9 | 0x1800ab |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14172000 |     8 | 0x1800ae |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14174000 |     9 | 0x1800ad |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14177000 |     8 | 0x1800b0 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14179000 |     9 | 0x1800af |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14182000 |     8 | 0x1800b2 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14184000 |     9 | 0x1800b1 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14187000 |     8 | 0x1800b4 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14189000 |     9 | 0x1800b3 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14192000 |     8 | 0x1800b6 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14194000 |     9 | 0x1800b5 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14197000 |     8 | 0x1800b8 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14199000 |     9 | 0x1800b7 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14202000 |     8 | 0x1800ba |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14204000 |     9 | 0x1800b9 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14207000 |     8 | 0x1800bc |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14209000 |     9 | 0x1800bb |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14212000 |     8 | 0x1800be |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14214000 |     9 | 0x1800bd |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14217000 |     9 | 0x1800bf |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14222000 |     8 | 0x1800c0 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14254000 |     8 | 0x1800c2 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14277000 |     9 | 0x1800c1 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14279000 |     8 | 0x1800c4 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14282000 |     9 | 0x1800c3 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14284000 |     8 | 0x1800c6 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14287000 |     9 | 0x1800c5 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14289000 |     8 | 0x1800c8 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14292000 |     9 | 0x1800c7 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14294000 |     8 | 0x1800ca |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14297000 |     9 | 0x1800c9 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14299000 |     8 | 0x1800cc |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14302000 |     9 | 0x1800cb |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14304000 |     8 | 0x1800ce |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14307000 |     9 | 0x1800cd |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14309000 |     8 | 0x1800d0 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14312000 |     9 | 0x1800cf |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14314000 |     8 | 0x1800d2 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14317000 |     9 | 0x1800d1 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14319000 |     8 | 0x1800d4 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14322000 |     9 | 0x1800d3 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14324000 |     8 | 0x1800d6 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14327000 |     9 | 0x1800d5 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14329000 |     8 | 0x1800d8 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14332000 |     9 | 0x1800d7 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14334000 |     8 | 0x1800da |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14337000 |     9 | 0x1800d9 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14339000 |     8 | 0x1800dc |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14342000 |     9 | 0x1800db |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14344000 |     8 | 0x1800de |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14347000 |     9 | 0x1800dd |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14349000 |     8 | 0x1800e0 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14352000 |     9 | 0x1800df |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14354000 |     8 | 0x1800e2 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
[14354000] INFO: slice completed (cycle=819)
    14357000 |     9 | 0x1800e1 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14359000 |     8 | 0x1800e4 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14362000 |     9 | 0x1800e3 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14364000 |     8 | 0x1800e6 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14367000 |     9 | 0x1800e5 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14369000 |     8 | 0x1800e8 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14372000 |     9 | 0x1800e7 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14374000 |     8 | 0x1800ea |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
    14377000 |     9 | 0x1800e9 |                1 |               0 | WRITE_NO_VALID_READ | 0b1100000000 | 0b1100000000
